Année;Niveau;Type;Ancien Code Officiel;Code Courant Officiel
2025;COM;commune;17484;17484
2025;COM;commune;35314;35314
2025;COM;commune;27364;27364
2025;COM;commune;68010;68010
2025;COM;commune;65262;65262
2025;COM;commune;21182;21182
2025;COM;commune;09166;09166
2025;COM;commune;14357;14357
2025;COM;commune;47107;47107
2025;COM;commune;60661;60661
2025;COM;commune;40308;40308
2025;COM;commune;02511;02511
2025;COM;commune;23187;23187
2025;COM;commune;33324;33324
2025;COM;commune;57483;57483
2025;COM;commune;59436;59436
2025;COM;commune;15181;15181
2025;COM;commune;21338;21338
2025;COM;commune;79321;79196
2025;COM;commune;07038;07038
2025;COM;commune;41246;41246
2025;COM;commune;45099;45099
2025;COM;commune;25618;25618
2025;COM;commune;29177;29177
2025;COM;commune;50239;50239
2025;COM;commune;52228;52228
2025;COM;commune;27317;27317
2025;COM;commune;46206;46206
2025;COM;commune;33007;33007
2025;COM;commune;70135;70135
2025;COM;commune;30322;30322
2025;COM;commune;25199;25199
2025;COM;commune;33554;33554
2025;COM;commune;10430;10430
2025;COM;commune;25431;25431
2025;COM;commune;26147;26147
2025;COM;commune;36223;36223
2025;COM;commune;2A154;2A154
2025;COM;commune;80301;80301
2025;COM;commune;17313;17313
2025;COM;commune;39216;39216
2025;COM;commune;27150;27554
2025;COM;commune;56071;56071
2025;COM;commune;52146;52146
2025;COM;commune;32258;32258
2025;COM;commune;52181;52181
2025;COM;commune;55571;55571
2025;COM;commune;02751;02751
2025;COM;commune;87107;87107
2025;COM;commune;27661;27661
2025;COM;commune;70187;70187
2025;COM;commune;10282;10282
2025;COM;commune;38134;38134
2025;COM;commune;57498;57498
2025;COM;commune;43174;43174
2025;COM;commune;24371;24371
2025;COM;commune;69078;69078
2025;COM;commune;16191;16191
2025;COM;commune;25351;25351
2025;COM;commune;48144;48144
2025;COM;commune;68239;68239
2025;COM;commune;41039;41039
2025;COM;commune;08365;08365
2025;COM;commune;56078;56078
2025;COM;commune;73187;73187
2025;COM;commune;83040;83040
2025;COM;commune;52164;52164
2025;COM;commune;50119;50431
2025;COM;commune;41225;41225
2025;COM;commune;52539;52539
2025;COM;commune;69179;69179
2025;COM;commune;21233;21233
2025;COM;commune;40217;40217
2025;COM;commune;60193;60193
2025;COM;commune;60216;60216
2025;COM;commune;12148;12148
2025;COM;commune;85141;85141
2025;COM;commune;31573;31573
2025;COM;commune;80746;80746
2025;COM;commune;80181;80181
2025;COM;commune;35081;35081
2025;COM;commune;62336;62336
2025;COM;commune;58093;58093
2025;COM;commune;81199;81199
2025;COM;commune;45174;45174
2025;COM;commune;67038;67038
2025;COM;commune;09038;09038
2025;COM;commune;16009;16009
2025;COM;commune;07013;07013
2025;COM;commune;97607;97607
2025;ARM;arrondissement municipal;13208;13208
2025;COM;commune;10010;10010
2025;COM;commune;60474;60474
2025;COM;commune;47242;47242
2025;COM;commune;62812;62812
2025;COM;commune;76758;76758
2025;COM;commune;63297;63297
2025;COM;commune;57533;57533
2025;COM;commune;31269;31269
2025;COM;commune;70071;70071
2025;COM;commune;31297;31297
2025;COM;commune;76322;76322
2025;COM;commune;58257;58257
2025;COM;commune;88479;88479
2025;COM;commune;67252;67252
2025;COM;commune;46128;46128
2025;COM;commune;62699;62699
2025;COM;commune;81123;81123
